tournament,game,time,road_team,road_score,home_team,home_score
Atlantic Sun Tournament,"ASUN Tournament - Game 1 (DeLand, FL)",05/23 10:00 AMFINAL,Liberty,12,Lipscomb,11
Atlantic Sun Tournament,"ASUN Tournament - Game 2 (DeLand, FL)",05/23 2:30 PMFINAL,Jacksonville,0,Florida Gulf Coast,7
Atlantic Sun Tournament,"ASUN Tournament - Game 3 (DeLand, FL)",05/23 7:00 PMFINAL,Eastern Kentucky,3,Stetson,8
Atlantic Sun Tournament,"ASUN Tournament - Game 4 (DeLand, FL)",05/24 10:00 AM,Jacksonville,,Liberty,
Atlantic Sun Tournament,"ASUN Tournament - Game 5 (DeLand, FL)",05/24 2:30 PM,Jacksonville State,,Stetson,
Atlantic Sun Tournament,"ASUN Tournament - Game 6 (DeLand, FL)",05/24 7:00 PM,Austin Peay,,Eastern Kentucky,
Atlantic Sun Tournament,"ASUN Tournament - Game 7 (DeLand, FL)",05/25 10:00 AM,Florida Gulf Coast,,Lipscomb,
Atlantic Sun Tournament,"ASUN Tournament - Game 8 (DeLand, FL)",05/25 2:30 PM,Austin Peay,,Stetson,
Atlantic Sun Tournament,"ASUN Tournament - Game 9 (DeLand, FL)",05/25 7:00 PM,Jacksonville State,,Eastern Kentucky,
Atlantic Sun Tournament,"ASUN Tournament - Game 10 (DeLand, FL)",05/26 10:00 AM,Jacksonville,,Lipscomb,
Atlantic Sun Tournament,"ASUN Tournament - Game 11 (DeLand, FL)",05/26 2:30 PM,Liberty,,Florida Gulf Coast,
Atlantic Sun Tournament,"ASUN Tournament - Game 12 (DeLand, FL)",05/26 7:00 PM,Austin Peay,,Jacksonville State,
Big 12 Tournament,"- Game 1 (Arlington, TX)",05/24 10:00 AM,Kansas State,,TCU,
Big 12 Tournament,"- Game 2 (Arlington, TX)",05/24 1:30 PM,Kansas,,Texas,
Big 12 Tournament,"- Game 3 (Arlington, TX)",05/24 5:00 PM,Oklahoma,,Oklahoma State,
Big 12 Tournament,"- Game 4 (Arlington, TX)",05/24 8:30 PM,Texas Tech,,West Virginia,
Big East Tournament,"- Game 1 (Mason, OH)",05/24 2:30 PM,Georgetown,,Connecticut,
Big East Tournament,"- Game 2 (Mason, OH)",05/24 6:30 PM,Seton Hall,,Xavier,
Big South Tournament,"- Game 1 (High Point, NC)",05/25 1:00 PM,Gardner-Webb,,Campbell,
Big South Tournament,"- Game 2 (High Point, NC)",05/25 5:00 PM,Winthrop,,USC Upstate,
Big Ten Tournament,"Big 10 Tournament - Game 1 (Omaha, NE)",05/23 11:00 AMFINAL,Michigan,3,Iowa,13
Big Ten Tournament,"Big 10 Tournament - Game 2 (Omaha, NE)",05/23 3:00 PMFINAL,Illinois,3,Indiana,4
Big Ten Tournament,"Big 10 Tournament - Game 3 (Omaha, NE)",05/23 6:45 PMFINAL,Michigan State,2,Maryland,3
Big Ten Tournament,"Big 10 Tournament - Game 4 (Omaha, NE)",05/24 3:00 PM,Rutgers,,Nebraska,
Big Ten Tournament,"Big 10 Tournament - Game 5 (Omaha, NE)",05/24 8:00 PM,Illinois,,Michigan,
Big Ten Tournament,"Big 10 Tournament - Game 7 (Omaha, NE)",05/25 3:00 PM,TBA,,Iowa,
Colonial Tournament,"CAA Tournament - Game 1 (Mt. Pleasant, SC)",05/24 12:00 PM,Delaware,,College of Charleston,
Colonial Tournament,"CAA Tournament - Game 2 (Mt. Pleasant, SC)",05/24 4:00 PM,William & Mary,,Northeastern,
Colonial Tournament,"CAA Tournament - Game 4 (Mt. Pleasant, SC)",05/25 3:00 PM,TBA,,UNC Wilmington,
Colonial Tournament,"CAA Tournament - Game 5 (Mt. Pleasant, SC)",05/25 7:00 PM,TBA,,Elon,
Conference USA Tournament,"C-USA Tournament - Game 1 (Houston, TX)",05/24 10:00 AM,Louisiana Tech,,Charlotte,
Conference USA Tournament,"C-USA Tournament - Game 2 (Houston, TX)",05/24 1:30 PM,Middle Tennessee,,UTSA,
Conference USA Tournament,"C-USA Tournament - Game 3 (Houston, TX)",05/24 5:00 PM,Rice,,Dallas Baptist,
Conference USA Tournament,"C-USA Tournament - Game 4 (Houston, TX)",05/24 8:30 PM,Florida Atlantic,,Western Kentucky,
Horizon Tournament,"Horizon League Tournament - Game 1 (Greene County, OH)",05/24 12:00 PM,Milwaukee,,Youngstown State,
Horizon Tournament,"Horizon League Tournament - Game 2 (Greene County, OH)",05/24 4:00 PM,Purdue Fort Wayne,,Northern Kentucky,
Horizon Tournament,"Horizon League Tournament - Game 3 (Greene County, OH)",05/25 11:00 AM,TBA,,Wright State,
Horizon Tournament,"Horizon League Tournament - Game 4 (Greene County, OH)",05/25 3:00 PM,TBA,,Oakland,
Ivy League Tournament,"- Game 1 (Philadelphia, PA)",05/19 11:00 AMFINAL,Princeton,2,Harvard,3
Ivy League Tournament,"- Game 2 (Philadelphia, PA)",05/19 3:00 PMFINAL,Columbia,6,Pennsylvania,10
Ivy League Tournament,"- Game 3 (Philadelphia, PA)",05/20 11:00 AMFINAL,Columbia,11,Princeton,13
Ivy League Tournament,"- Game 4 (Philadelphia, PA)",05/21 11:00 AMFINAL,Harvard,7,Pennsylvania,10
Ivy League Tournament,"- Game 5 (Philadelphia, PA)",05/21 4:00 PMFINAL,Harvard,3,Princeton,10
Ivy League Tournament,"- Game 6 (Philadelphia, PA)",05/22 11:00 AMFINAL,Pennsylvania,16,Princeton,3
Metro Atlantic Tournament,"MAAC Tournament - Game 1 (Pomona, NY)",05/24 11:00 AM,Manhattan,,Canisius,
Metro Atlantic Tournament,"MAAC Tournament - Game 2 (Pomona, NY)",05/24 3:00 PM,Niagara,,Quinnipiac,
Metro Atlantic Tournament,"MAAC Tournament - Game 4 (Pomona, NY)",05/25 11:00 AM,TBA,,Fairfield,
Metro Atlantic Tournament,"MAAC Tournament - Game 5 (Pomona, NY)",05/25 3:00 PM,TBA,,Rider,
Mid-American Tournament,"MAC Tournament - Game 1 (Portage County, OH)",05/24 12:00 PM,Western Michigan,,Kent State,
Mid-American Tournament,"MAC Tournament - Game 2 (Portage County, OH)",05/24 6:00 PM,Ball State,,Central Michigan,
Missouri Valley Tournament,"- Game 1 (Terre Haute, IN)",05/23 2:30 PMFINAL,Belmont,5,Illinois-Chicago,10
Missouri Valley Tournament,"- Game 2 (Terre Haute, IN)",05/23 6:00 PMFINAL,Valparaiso,6,Murray State,11
Missouri Valley Tournament,"- Game 3 (Terre Haute, IN)",05/24 9:00 AM,Evansville,,Southern Illinois,
Missouri Valley Tournament,"- Game 4 (Terre Haute, IN)",05/24 12:30 PM,Valparaiso,,Belmont,
Missouri Valley Tournament,"- Game 5 (Terre Haute, IN)",05/24 4:00 PM,Illinois-Chicago,,Indiana State,
Missouri Valley Tournament,"- Game 6 (Terre Haute, IN)",05/24 7:30 PM,Murray State,,Missouri State,
Mountain West Tournament,"MW Tournament - Game 1 (Fresno, CA)",05/25 4:30 PM,Air Force,,San Diego State,
Mountain West Tournament,"MW Tournament - Game 2 (Fresno, CA)",05/25 9:00 PM,Fresno State,,San Jose State,
Northeast Tournament,"NEC Tournament - Game 1 (Wappingers Falls, NY)",05/24 11:00 AM,UMES,,Fairleigh Dickinson,
Northeast Tournament,"NEC Tournament - Game 2 (Wappingers Falls, NY)",05/24 3:00 PM,Long Island,,Sacred Heart,
Northeast Tournament,"NEC Tournament - Game 4 (Wappingers Falls, NY)",05/25 11:00 AM,TBA,,Central Connecticut,
Northeast Tournament,"NEC Tournament - Game 5 (Wappingers Falls, NY)",05/25 3:00 PM,TBA,,Wagner,
Ohio Valley Tournament,"OVC Tournament - Game 1 (Marion, IL)",05/24 10:00 AM,Southern Indiana,,Eastern Illinois,
Ohio Valley Tournament,"OVC Tournament - Game 2 (Marion, IL)",05/24 1:30 PM,SIU Edwardsville,,Tennessee Tech,
Ohio Valley Tournament,"OVC Tournament - Game 3 (Marion, IL)",05/24 5:00 PM,TBA,,Southeast Missouri State,
Ohio Valley Tournament,"OVC Tournament - Game 4 (Marion, IL)",05/24 8:30 PM,TBA,,Tennessee-Martin,
Ohio Valley Tournament,"OVC Tournament - Game 5 (Marion, IL)",05/25 12:00 PM,TBA,,Morehead State,
Ohio Valley Tournament,"OVC Tournament - Game 6 (Marion, IL)",05/25 4:00 PM,TBA,,Little Rock,
Pac-12 Tournament,"- Game 1 (Scottsdale, AZ)",05/23 1:00 PMFINAL,Arizona,12,Arizona State,3
Pac-12 Tournament,"- Game 2 (Scottsdale, AZ)",05/23 5:30 PMFINAL,UCLA,4,Southern California,6
Pac-12 Tournament,"- Game 3 (Scottsdale, AZ)",05/23 10:00 PMFINAL,California,2,Oregon,3
Pac-12 Tournament,"- Game 4 (Scottsdale, AZ)",05/24 1:00 PM,Oregon State,,Arizona,
Pac-12 Tournament,"- Game 5 (Scottsdale, AZ)",05/24 5:30 PM,Washington,,UCLA,
Pac-12 Tournament,"- Game 6 (Scottsdale, AZ)",05/24 10:00 PM,Stanford,,California,
Pac-12 Tournament,"- Game 7 (Scottsdale, AZ)",05/25 1:00 PM,Arizona State,,Oregon State,
Pac-12 Tournament,"- Game 8 (Scottsdale, AZ)",05/25 5:30 PM,Southern California,,Washington,
Pac-12 Tournament,"- Game 9 (Scottsdale, AZ)",05/25 10:00 PM,Oregon,,Stanford,
Patriot Tournament,Patriot League Semifinal,05/13 4:00 PMFINAL,Navy,0,Bucknell,2
Patriot Tournament,Patriot League Semifinal,05/13 6:00 PMFINAL,Lafayette,7,Army,5
Patriot Tournament,Patriot League Semifinal,05/13 6:00 PMFINAL,Navy,6,Bucknell,7
Patriot Tournament,Patriot League Semifinal,05/14 12:00 PMFINAL,Lafayette,6,Army,15
Patriot Tournament,Patriot League Semifinal (If Necessary),05/14 4:00 PMFINAL,Lafayette,1,Army,5
Patriot Tournament,"Patriot League Championship Series Game 1 (West Point, NY)",05/21 1:00 PMFINAL,Bucknell,5,Army,20
Patriot Tournament,"Patriot League Championship Series Game 2 (West Point, NY)",05/22 1:00 PMFINAL,Bucknell,6,Army,21
SEC Tournament,"- Game 1 (Hoover, AL)",05/23 10:30 AMFINAL,Georgia,0,South Carolina,9
SEC Tournament,"- Game 2 (Hoover, AL)",05/23 2:00 PMFINAL,Texas A&M,3,Tennessee,0
SEC Tournament,"- Game 3 (Hoover, AL)",05/23 6:45 PMFINAL,Alabama,4,Kentucky,0
SEC Tournament,"- Game 4 (Hoover, AL)",05/23 9:00 PMFINAL,Missouri,4,Auburn,10
SEC Tournament,"- Game 5 (Hoover, AL)",05/24 10:30 AM,South Carolina,,LSU,
SEC Tournament,"- Game 6 (Hoover, AL)",05/24 2:00 PM,Texas A&M,,Arkansas,
SEC Tournament,"- Game 7 (Hoover, AL)",05/24 5:30 PM,Alabama,,Florida,
SEC Tournament,"- Game 8 (Hoover, AL)",05/24 9:00 PM,Auburn,,Vanderbilt,
SoCon Tournament,"- Game 1 (Greenville, SC)",05/24 3:00 PM,The Citadel,,VMI,
SoCon Tournament,"- Game 2 (Greenville, SC)",05/24 7:00 PM,Western Carolina,,UNC Greensboro,
SoCon Tournament,"- Game 3 (Greenville, SC)",05/25 3:00 PM,TBA,,East Tennessee State,
SoCon Tournament,"- Game 4 (Greenville, SC)",05/25 7:00 PM,TBA,,Wofford,
SoCon Tournament,"- Game 5 (Greenville, SC)",05/26 9:00 AM,TBA,,Samford,
SoCon Tournament,"- Game 6 (Greenville, SC)",05/26 12:30 PM,TBA,,Mercer,
Southland Tournament,"- Game 1 (Lake Charles, LA)",05/23 7:00 PMFINAL,Texas A&M-Corpus Christi,0,McNeese,4
Southland Tournament,"- Game 3 (Lake Charles, LA)",05/24 12:00 PM,Northwestern State,,Incarnate Word,
Southland Tournament,"- Game 4 (Lake Charles, LA)",05/24 3:30 PM,New Orleans,,Lamar,
Southland Tournament,"- Game 2 (Lake Charles, LA)",05/24 7:00 PM,McNeese,,Nicholls,
Southwestern Athletic Tournament,"SWAC Tournament - Game 1 (Atlanta, GA)",05/24 9:00 AM,Florida A&M,,Texas Southern,
Southwestern Athletic Tournament,"SWAC Tournament - Game 2 (Atlanta, GA)",05/24 12:00 PM,Southern,,Bethune-Cookman,
Southwestern Athletic Tournament,"SWAC Tournament - Game 3 (Atlanta, GA)",05/24 3:00 PM,Prairie View,,Alabama State,
Southwestern Athletic Tournament,"SWAC Tournament - Game 4 (Atlanta, GA)",05/24 6:00 PM,Jackson State,,Grambling,
Summit Tournament,"Summit League Tournament - Game 1 (Fargo, ND)",05/24 1:05 PM,Omaha,,Oral Roberts,
Summit Tournament,"Summit League Tournament - Game 2 (Fargo, ND)",05/24 7:05 PM,South Dakota State,,North Dakota State,
Sun Belt Tournament,"- Game 1 (Montgomery, AL)",05/23 4:00 PMFINAL,Old Dominion,1,James Madison,2
Sun Belt Tournament,"- Game 2 (Montgomery, AL)",05/23 7:30 PMFINAL,Georgia Southern,5,Georgia State,8
Sun Belt Tournament,"- Game 3 (Montgomery, AL)",05/24 10:00 AM,Appalachian State,,Troy,
Sun Belt Tournament,"- Game 4 (Montgomery, AL)",05/24 1:30 PM,James Madison,,Southern Miss,
Sun Belt Tournament,"- Game 5 (Montgomery, AL)",05/24 5:00 PM,Georgia State,,Coastal Carolina,
Sun Belt Tournament,"- Game 6 (Montgomery, AL)",05/24 8:30 PM,Texas State,,Louisiana,
West Coast Tournament,"- Game 1 (Las Vegas, NV)",05/24 6:00 PM,Gonzaga,,Santa Clara,
West Coast Tournament,"- Game 2 (Las Vegas, NV)",05/24 10:20 PM,Saint Mary's,,San Diego,
West Coast Tournament,"- Game 3 (Las Vegas, NV)",05/25 6:00 PM,TBA,,Loyola Marymount,
West Coast Tournament,"- Game 4 (Las Vegas, NV)",05/25 10:20 PM,TBA,,Portland,
Western Athletic Tournament,"WAC Tournament - Game 1 (Mesa, AZ)",05/23 4:00 PMFINAL,California Baptist,4,Abilene Christian,5
Western Athletic Tournament,"WAC Tournament - Game 2 (Mesa, AZ)",05/23 7:00 PMFINAL,UT Rio Grande Valley,14,UT Arlington,4
Western Athletic Tournament,"WAC Tournament - Game 3 (Mesa, AZ)",05/24 12:00 PM,Seattle,,Utah Valley,
Western Athletic Tournament,"WAC Tournament - Game 4 (Mesa, AZ)",05/24 3:00 PM,UT Arlington,,California Baptist,
Western Athletic Tournament,"WAC Tournament - Game 5 (Mesa, AZ)",05/24 7:00 PM,Abilene Christian,,Sam Houston,
Western Athletic Tournament,"WAC Tournament - Game 6 (Mesa, AZ)",05/24 10:00 PM,UT Rio Grande Valley,,Grand Canyon,
